X,Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,vox_size,px_obs,skel_length_mm,vein_density_mm2,end_points,branch_points,areole_num,areole_pix,ariole_mmsq,MAG,Res,pix_mm,conversion,Scope,new_vox_size,skel_length_pix,skel_length_new_mm,areole_area_new_mmsq,area_obs_mmsq,vein_dens_mm2,Date.Created,Lf3_wetMg,Lf4_wetMg,dry_shootsG,Lf4_dryMg,IRGA_ID,IRGA_date,Photo,Cond,Fo,Fm,Fs,Fv,FvFm,VpdL,C02R,PARi,Microcope,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,SLA
1,31,31B,B,1,PI 257240,juncea,hybrid,7.62E-05,0.000124654,1.636363636,0.0029784,5008432,213.4784505,4.804920581,243,419,108,33844.80556,0.300232754,NA,NA,NA,NA,NA,0.0029784,71675.54743,213.4784505,0.300232754,44.42913195,2.430837499,4/20/14,4830,5933.1,0.4,NA,IRGA_5,20-Apr-14,20.130909,0.24442247,531.2636719,1127.6521,874.4997559,596.3884277,0.528876262,1.415317,399.7892,1500.643,Microscopy Core,2,206.94,174.019,184892.018,110.548,94.07,98813.645,45.991,9.479,25640.069,27.145,3.527,19098.632,85.721,51.667,5.580455264,0.19705977
2,72,72B,B,1,CGN17374,napus,hybrid,0.000103878,0.000166205,1.6,0.001399,6308715,112.2715757,9.092712945,145,466,166,31017.94578,0.060708354,10,4288,728,0.00137363,NA,0.00137363,80251.30503,110.2356001,0.058526502,11.90365805,13.94529306,4/14/14,1736.6,821.2,0.14,117.2,IRGA_3,13-Apr-14,20.016449,0.37156849,345.6181641,682.6242676,533.8911133,337.0061035,0.493691947,1.550244,400.5237,1498.228,AV,3,141.093,106.996,121689.234,89.359,41.152,59147.436,34.392,9.406,20818.753,21.164,8.377,20216.866,45.49,51.712,7.667139522,0.388139932
3,101,101B,B,1,CGN07129,oleracea,parent,0.000214681,0.000249307,1.161290323,0.001399,4296544,78.40860624,9.32414549,174,284,78,28530.42308,0.055839773,16,3216,834,0.00119904,NA,0.00119904,56046.1803,67.20161203,0.041018101,6.177128082,12.62722724,4/20/14,1437.9,224.2,0.2,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aven Nelson,3,96.411,77.852,86050.378,86.131,65.238,77372.01,32.341,12.283,19646.862,23.197,5.291,14628.805,37.153,37.338,6.125677203,NA
4,113,113B,B,1,CGN06619,nigra,parent,0.000103878,0.000221607,2.133333333,0.0029784,5023984,301.7931484,6.771659024,287,834,288,13672.05208,0.12128295,NA,NA,NA,NA,NA,0.0029784,101327.2725,301.7931484,0.12128295,44.56709166,6.462167246,4/20/14,1041.8,671.1,0.11,74.3,Berry,20-Apr-14,28.086455,0.39059258,NA,NA,NA,3.820800781,NA,1.407273,399.9086,1499.437,Aven Nelson,3,138.459,97.038,120276.277,54.738,25.634,42859.165,44.982,14.109,26622.217,31.746,7.11,19460.23,29.943,48.124,8.794558922,0.403001346
5,140,140B,B,1,PI 470241,juncea,hybrid,8.31E-05,0.000228532,2.75,0.0029784,4973469,215.0772093,4.874936141,233,443,119,29123.10084,0.258347141,NA,NA,NA,NA,NA,0.0029784,72212.3319,215.0772093,0.258347141,44.11897984,2.69725185,4/27/14,1623,1693.6,0.69,132.9,IRGA_5,26-Apr-14,16.445665,0.20232433,529.1611328,1186.270264,976.0965576,657.1091309,0.553928688,1.447135,399.985,1501.792,AV,3,213.992,165.785,173355.854,99.647,38.801,53914.753,39.242,8.524,22831.263,35.273,8.23,22123.619,38.576,48.462,7.802660966,0.290263356
6,143,143B,B,1,PI 173857,juncea,hybrid,0.000103878,0.000138504,1.333333333,0.0029784,4705294,254.2779137,6.091942963,227,676,240,16607.7375,0.147325023,NA,NA,NA,NA,NA,0.0029784,85373.99734,254.2779137,0.147325023,41.7400352,5.749875362,4/20/14,1735.8,1025.2,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aven Nelson,2,134.924,92.894,127181.645,84.689,57.613,67418.325,48.207,10.582,23561.459,37.643,11.758,23507.803,41.26,54.819,8.534272329,NA
7,157,157B,B,1,CGN06620,nigra,parent,9.00E-05,0.000228532,2.538461538,0.0029784,5026319,228.0667158,5.115002075,224,486,145,27127.83333,0.24064739,NA,NA,NA,NA,NA,0.0029784,76573.56829,228.0667158,0.24064739,44.58780514,3.252010265,4/20/14,1797.7,2417,0.72,169.1,IRGA_5,20-Apr-14,20.528558,0.28745058,484.1018066,979.3497314,740.9130859,495.2479248,0.505690571,1.395048,398.8435,1498.911,Aven Nelson,2,146.451,76.72,115236.447,61.728,13.257,43655.459,57.489,12.346,30498.711,44.233,12.346,NA,54.374,45.433,6.161348488,0.321549379
8,184,184B,B,1,CGN14031,oleracea,parent,9.70E-05,0.000193906,2,0.0029784,4991635,231.9623558,5.238520444,218,540,168,23645.08929,0.209752432,NA,NA,NA,NA,NA,0.0029784,77881.5323,231.9623558,0.209752432,44.280128,3.794026973,4/20/14,3862.7,1525,0.16,111.9,IRGA_5,20-Apr-14,21.54475,0.27720486,590.3349609,1067.908325,831.4963379,477.5733643,0.447204458,1.496128,399.4467,1500.595,Aven Nelson,3,130.517,107.517,118139.345,83.513,68.357,72993.944,30.661,9.479,21433.859,16.503,9.74,14563.484,80.796,54.116,6.020475007,0.722037534
9,191,191B,B,1,CGN03969,carinata,hybrid,0.000124654,0.000207756,1.666666667,0.0029784,5027838,227.3425658,5.097220661,222,450,131,28756.67939,0.255096666,NA,NA,NA,NA,NA,0.0029784,76330.43441,227.3425658,0.255096666,44.60127998,2.937135438,4/20/14,2820.6,3626.1,0.42,203.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aven Nelson,3,248.101,177.547,221846.626,110.548,75.287,92358.525,59.976,11.758,29977.698,40.046,8.479,19317.924,48.943,64.532,9.224223814,0.240270005
10,196,196B,B,1,CGN06627,nigra,parent,8.31E-05,0.000214681,2.583333333,0.001399,12071795,121.2076942,5.130065485,140,254,64,128091.0156,0.250699864,10,4288,728,0.00137363,NA,0.00137363,86638.80933,119.0096677,0.241689734,22.77777959,2.809755874,4/20/14,745.8,387.6,0.16,33.9,Berry,20-Apr-14,15.518111,0.1322506,NA,NA,NA,3.534667969,NA,1.517964,399.6737,1502.033,AV,3,242.21,193.122,211069.43,128.16,69.371,100572.648,41.446,6.614,21118.919,12.79,7.94,18376.99,15.244,36.507,9.35032434,0.449675516
