Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,B_end_points,M_end_points,T_end_points,B_branch_points,M_branch_points,T_branch_points,B_areole_num,M_areole_num,T_areole_num,B_skel_length_new_mm,M_skel_length_new_mm,T_skel_length_new_mm,B_areole_area_new_mmsq,M_areole_area_new_mmsq,T_areole_area_new_mmsq,B_vein_dens_mm2,M_vein_dens_mm2,T_vein_dens_mm2,dry_shootsG,Photo,Cond,WUE,Fo,Fm,Fs,Fv,FvFm,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,Palisade_spongy,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,LMA
31,31B,B,1,PI 257240,juncea,hybrid,7.62E-05,0.000124654,1.636363636,243,203,152,419,383,272,108,100,69,213.4784505,202.7710366,169.6711132,0.300232754,0.314137167,0.43967563,2.430837499,2.244981507,1.554641103,0.4,20.130909,0.24442247,54.17819202,531.2636719,1127.6521,874.4997559,596.3884277,0.528876262,2,206.94,174.019,184892.018,110.548,94.07,98813.645,1.871118285,45.991,9.479,25640.069,27.145,3.527,19098.632,85.721,51.667,5.580455264,3.662763348
72,72B,B,1,CGN17374,napus,hybrid,0.000103878,0.000166205,1.6,145,228,164,466,690,508,166,239,176,110.2356001,178.705166,160.2695977,0.058526502,0.074776813,0.107806225,13.94529306,11.54200929,7.86135373,0.14,20.016449,0.37156849,NA,345.6181641,682.6242676,533.8911133,337.0061035,0.493691947,3,141.093,106.996,121689.234,89.359,41.152,59147.436,2.057388151,34.392,9.406,20818.753,21.164,8.377,20216.866,45.49,51.712,7.667139522,2.844991233
101,101B,B,1,CGN07129,oleracea,parent,0.000214681,0.000249307,1.161290323,174,255,345,284,700,993,78,239,342,67.20161203,126.9279389,129.4379294,0.041018101,0.033850694,0.01751093,12.62722724,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,3,96.411,77.852,86050.378,86.131,65.238,77372.01,1.112164179,32.341,12.283,19646.862,23.197,5.291,14628.805,37.153,37.338,6.125677203,3.003734332
113,113B,B,1,CGN06619,nigra,parent,0.000103878,0.000221607,2.133333333,287,284,261,834,689,565,288,214,160,301.7931484,272.8840829,247.3601493,0.12128295,0.160051491,0.214175874,6.462167246,4.811688737,3.677482444,0.11,28.086455,0.39059258,138.8189695,NA,NA,NA,3.820800781,NA,3,138.459,97.038,120276.277,54.738,25.634,42859.165,2.806314052,44.982,14.109,26622.217,31.746,7.11,19460.23,29.943,48.124,8.794558922,2.937774962
140,140B,B,1,PI 470241,juncea,hybrid,8.31E-05,0.000228532,2.75,233,247,224,443,530,367,119,158,89,215.0772093,235.0386513,203.6346128,0.258347141,0.206825994,0.375215229,2.69725185,3.543414007,1.998033541,0.69,16.445665,0.20232433,NA,529.1611328,1186.270264,976.0965576,657.1091309,0.553928688,3,213.992,165.785,173355.854,99.647,38.801,53914.753,3.21536953,39.242,8.524,22831.263,35.273,8.23,22123.619,38.576,48.462,7.802660966,3.179207211
143,143B,B,1,PI 173857,juncea,hybrid,0.000103878,0.000138504,1.333333333,227,238,257,676,640,502,240,215,140,254.2779137,256.9154762,229.7099879,0.147325023,0.168411297,0.247588927,5.749875362,4.820489459,3.169091851,0.25,NA,NA,NA,NA,NA,NA,NA,NA,2,134.924,92.894,127181.645,84.689,57.613,67418.325,1.886455129,48.207,10.582,23561.459,37.643,11.758,23507.803,41.26,54.819,8.534272329,3.135504652
157,157B,B,1,CGN06620,nigra,parent,9.00E-05,0.000228532,2.538461538,224,239,241,486,467,558,145,130,168,228.0667158,223.1731038,240.260831,0.24064739,0.249815749,0.216774832,3.252010265,2.919224753,3.892189525,0.72,20.528558,0.28745058,74.05554867,484.1018066,979.3497314,740.9130859,495.2479248,0.505690571,2,146.451,76.72,115236.447,61.728,13.257,43655.459,2.639680114,57.489,12.346,30498.711,44.233,12.346,NA,54.374,45.433,6.161348488,2.447198529
184,184B,B,1,CGN14031,oleracea,parent,9.70E-05,0.000193906,2,218,187,212,540,531,451,168,178,124,231.9623558,224.605148,210.2050325,0.209752432,0.211723364,0.26981406,3.794026973,4.072576755,2.796765142,0.16,21.54475,0.27720486,NA,590.3349609,1067.908325,831.4963379,477.5733643,0.447204458,3,130.517,107.517,118139.345,83.513,68.357,72993.944,1.618481459,30.661,9.479,21433.859,16.503,9.74,14563.484,80.796,54.116,6.020475007,3.171754851
191,191B,B,1,CGN03969,carinata,hybrid,0.000124654,0.000207756,1.666666667,222,223,252,450,466,375,131,139,88,227.3425658,223.9400336,213.5960357,0.255096666,0.24064906,0.356910647,2.937135438,3.128577893,2.013355202,0.42,NA,NA,NA,NA,NA,NA,NA,NA,3,248.101,177.547,221846.626,110.548,75.287,92358.525,2.402015688,59.976,11.758,29977.698,40.046,8.479,19317.924,48.943,64.532,9.224223814,3.965670022
196,196B,B,1,CGN06627,nigra,parent,8.31E-05,0.000214681,2.583333333,140,123,181,254,343,363,64,115,101,119.0096677,129.9651571,138.2234037,0.241689734,0.156815652,0.165239991,2.809755874,5.223376308,4.502317423,0.16,15.518111,0.1322506,45.56165748,NA,NA,NA,3.534667969,NA,3,242.21,193.122,211069.43,128.16,69.371,100572.648,2.098676272,41.446,6.614,21118.919,12.79,7.94,18376.99,15.244,36.507,9.35032434,4.612042271
198,198B,B,1,PI120923,juncea,hybrid,9.85E-05,0.00015753,1.6,246,345,385,603,810,710,194,250,177,110.3958241,211.4852308,187.6039213,0.032331481,0.074783226,0.099562661,24.67573327,10.87605864,7.69665463,0.1,23.994796,0.34059584,104.3490097,327.5712891,676.4587402,470.2385254,348.8874512,0.5157557,3,145.527,129.705,141053.815,92.609,47.619,20158.544,6.997222369,29.995,8.862,20158.544,19.036,11.464,19018.536,15.29,35.504,9.079742709,4.211478827
208,208B,B,1,CGN03952,carinata,hybrid,0.000145429,0.000214681,1.476190476,468,436,397,1272,1011,687,414,309,159,254.5808451,230.3271427,188.5373656,0.046502871,0.061652745,0.101285591,18.12595628,13.47121878,6.913115867,0.13,24.00901,0.22994752,87.43409215,593.9614258,1185.255005,805.4613647,591.2935791,0.498874568,3,147.396,125.224,138498.518,66.19,46.746,58719.738,2.358636512,40.574,11.464,22095.624,23.08,10.054,22066.851,42.399,49.769,7.643303551,2.928851288
210,210B,B,1,CGN03976,carinata,hybrid,0.000124654,0.000166205,1.333333333,348,462,280,1182,963,684,442,282,213,137.6199786,127.8015594,145.0173157,0.011450512,0.016901333,0.046040777,NA,NA,16.59741095,0.36,20.667623,0.27459552,64.34095964,358.5820313,715.3574219,512.5212402,356.7753906,0.498737246,4,134.283,107.343,102682.412,82.883,65.79,64772.34,1.585281804,32.445,10.811,21058.355,23.441,5.405,11370.019,33.244,36.47,6.325270845,3.269887972
219,219B,B,1,CGN06897,napus,hybrid,0.00017313,0.000263158,1.52,438,238,140,643,434,286,120,109,84,185.7622121,158.9305005,131.2347258,0.125865879,0.165237417,0.21209162,5.213203332,4.805396658,3.656063346,0.2,21.554725,0.32122031,NA,335.1577148,632.2646484,470.1743164,297.1069336,0.469909134,4,153.439,89.359,121105.232,112.881,88.183,94100.42,1.286978655,30.57,6.173,18407.317,18.519,4.262,15058.836,51.887,40.146,5.573307426,3.645226703
222,222B,B,1,CGN14070,oleracea,parent,0.000166205,0.000290859,1.75,395,308,185,474,629,511,76,168,169,130.3757196,170.2467756,149.2302223,0.12457994,0.095729417,0.091679081,4.218156743,8.224890551,8.923357139,0.15,NA,NA,NA,NA,NA,NA,NA,NA,3,141.093,125.224,132926.01,79.385,61.754,72942.62,1.822336653,37.548,12.377,25559.973,20.282,9.498,14292.091,NA,NA,NA,NA
232,232B,B,1,CGN14113,napus,hybrid,6.93E-05,0.000166205,2.4,397,247,288,755,682,465,183,221,96,193.4439207,183.0335158,151.4748876,0.099751595,0.087280523,0.160348573,8.045418276,9.600982804,4.170562666,0.1,23.298335,0.34857849,NA,376.3334961,746.6560059,522.8769531,370.3225098,0.495974728,2,188.569,151.789,170426.515,104.651,65.844,76270.883,2.234489864,36.449,8.314,20703.663,24.719,7.055,15609.399,31.537,37.353,6.651434195,3.657433743
236,236B,B,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,434,NA,NA,123,NA,NA,151.7691428,NA,NA,0.140126369,NA,NA,5.388518421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,249B,B,1,CGN07230,napus,hybrid,7.62E-05,0.00017313,2.272727273,153,101,160,307,213,274,92,60,61,132.1536166,97.1488466,114.1447113,0.185923699,0.229159732,0.241242612,4.02670126,3.203582508,2.77988022,0.2,28.364982,0.38085596,191.4632384,NA,NA,NA,4.503417969,NA,2,140.281,112.118,130049.551,76.725,62.616,72036.679,1.805324077,33.521,7.937,21024.825,15.095,5.291,14899.421,68.743,71.899,8.67178715,3.118958306
281,281B,B,2,PI 257240,juncea,hybrid,5.54E-05,0.000180055,3.25,228.7755102,148,162,413.5408163,288,242,99.46938776,74,50,142.5246351,122.3084687,117.8887801,0.17994331,0.219521351,0.210367009,4.323833871,3.228166092,2.185461013,0.24,12.05909,0.14814845,51.10987363,474.6503906,820.0483398,646.4799805,345.3979492,0.421192182,3,222.222,176.367,186078.684,122.281,73.486,92412.96,2.013556151,32.334,6.173,21770.574,24.25,4.409,20982.055,93.98,56.058,5.782556421,3.463845309
322,322B,B,2,CGN17374,napus,hybrid,0.000214681,0.000290859,1.35483871,310,281,NA,1061,819,NA,388,275,NA,337.3424126,290.2130552,NA,0.095959296,0.13257181,NA,8.79974616,6.192820164,NA,0.11,21.051841,0.23594443,58.75401038,278.3630371,513.4006348,379.6157227,235.0375977,0.457805429,3,111.167,83.687,98080.339,85.864,47.046,64803.928,1.513493735,28.243,14.158,23576.234,19.988,11.816,16338.817,38.582,42.664,6.868615449,2.921862822
346,346B,B,2,PI 633094,juncea,hybrid,0.000117729,0.000242382,2.058823529,172,NA,147,367,NA,337,106,NA,103,141.2035066,NA,132.9815317,0.158708246,NA,0.166098546,4.632612272,NA,4.479889946,0.38,28.247224,0.35830475,NA,496.3903809,1048.054565,712.3901367,551.6641846,0.526369717,3,155.203,125.858,142490.878,90.657,61.152,77641.848,1.835232953,42.475,8.23,20902.737,34.098,6.332,17775.103,72.095,74.452,8.768469498,3.213352405
351,351B,M,2,CGN07129,oleracea,parent,NA,NA,NA,NA,NA,NA,NA,NA,1013,NA,NA,263,NA,286.2499857,250.0360261,NA,0.035107909,0.069076724,NA,NA,11.4536914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,356B,B,2,CGN06813,rapa,parent,3.94E-05,9.19E-05,2.333333333,175,142,123,231,167,176,44,29,39,163.1505095,145.1208661,142.170283,NA,NA,0.65409744,0.988212035,0.651044637,0.875542788,NA,13.854613,0.10147614,67.85815462,596.5883789,1210.155151,994.7047119,613.5667725,0.507014966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.885,64.387,6.410396479,NA
363,363B,B,2,CGN06619,nigra,parent,8.31E-05,0.00015928,1.916666667,140,248,248,342,506,477,108,135,119,136.739514,162.2693433,154.6606823,0.154821215,0.136456119,0.150115345,4.800748435,5.866205932,5.173379406,0.51,17.548777,0.2041702,87.42637862,333.923584,658.4787598,521.8261719,324.5551758,0.492886325,2,106.793,74.074,92632.252,82.011,49.383,58888.485,1.573011294,26.587,8.818,15771.924,22.046,7.985,16807.729,36.192,43.548,7.23872241,2.89177447
393,393B,B,2,PI 173857,juncea,hybrid,0.000166205,0.000242382,1.458333333,315,322,357,597,768,590,154,228,128,148.2798646,180.9670747,158.3761151,0.077112894,0.07103644,0.114196341,9.657013026,11.65880049,6.545291504,0.08,17.689356,0.20072634,53.91938061,310.3977051,570.4345703,442.4025879,260.0368652,0.455857479,3,133.3,104.882,122113.82,76.426,47.163,68192.069,1.790733465,27.043,10.582,28441.098,35.449,9.479,18439.2,10.661,28.901,8.851439358,4.673497518
407,407B,B,2,CGN06620,nigra,parent,0.000110803,0.000152355,1.375,198,190,165,605,508,405,212,170,130,210.7747036,186.6104671,179.0298718,0.133930907,0.13269611,0.225854425,6.329951774,5.586746956,3.784953507,0.47,23.63184,0.32807046,144.5993679,266.2941895,554.5544434,408.5290527,288.2602539,0.519805147,2,112.899,70.586,95388.179,72.936,47.031,55670.645,1.713437647,27.043,14.109,23540.463,22.371,9.406,18773.582,39.12,37.376,5.975763455,2.516267903
416,416B,B,2,CGN06709 ,rapa,parent,0.000145429,0.000263158,1.80952381,155,258,92,254,468,480,62,123,201,121.1189754,192.2515151,175.4059514,0.148368963,0.181785908,0.129699925,3.124509084,4.048967623,6.751830289,0.18,17.029926,0.16342976,59.28267512,575.2314453,1139.394531,780.6353149,564.1630859,0.495142877,2,180.914,131.708,156241.738,101.451,83.489,87911.25,1.777266709,49.397,9.479,25098.059,24.719,10.84,18419.759,31.757,43.013,7.632731751,3.160169499
434,434B,B,2,CGN14031,oleracea,parent,NA,NA,1.371428571,358,334,310,1140,1184,735,411,448,225,352.6124195,353.606618,271.6687798,0.093811853,0.084376079,0.165234201,9.214982174,10.04714858,5.040804254,0.21,17.531111,0.28726649,NA,347.6303711,597.4335938,461.2102051,249.8032227,0.418127178,3,108.498,85.542,92377.996,101.415,74.158,86720.679,1.065236078,23.81,14.219,19479.671,27.563,7.937,15319.342,42.035,46.638,7.193403008,3.19564168
441,441B,B,2,CGN03969,carinata,hybrid,4.92E-05,9.52E-05,1.933333333,232,235,227,709,596,529,247,188,154,265.7546534,245.2696383,229.578405,0.1469732,0.190913411,0.234798647,5.537419096,4.230361516,3.450150467,0.2,34.651833,NA,89.58278424,551.2026367,1274.249756,781.578125,723.0471191,0.567429671,2,161.082,121.105,135033.392,164.609,NA,NA,NA,38.801,6.173,25650.955,27.337,7.055,19363.026,37.856,49.793,8.092839578,3.623433234
448,448B,B,2,PI120923,juncea,hybrid,0.000108302,0.00015753,1.454545455,292,199,182,845,604,526,293,213,177,297.6388792,251.2189625,234.0597697,0.120337574,0.169865891,0.201646625,6.582877157,4.771961361,3.96543268,0.2,23.937714,0.38681353,63.996236,385.1777344,760.8508301,522.03125,375.6730957,0.493753941,2,185.54,141.49,156429.147,100.003,56.437,82440.612,1.89747678,43.504,10.582,25080.951,22.463,9.479,18624.386,35.638,51.863,8.687623133,3.692583712
458,458B,B,2,CGN03952,carinata,hybrid,0.000101738,0.000164094,1.612903226,329,267,286,800,752,570,256,253,154,295.6866381,276.6780393,252.6069431,0.140694993,0.147940038,0.211112857,5.766469701,5.69446192,3.461723665,0.1,27.754404,0.37404878,57.74290406,315.7282715,637.0732422,447.286377,321.3449707,0.504408205,3,140.057,116.342,123298.352,91.062,60.468,74942.781,1.645233208,28.885,9.91,22091.551,22.684,6.861,14922.49,51.241,54.013,7.545525676,2.948221799
460,460B,B,2,CGN03976,carinata,hybrid,0.000144402,0.000200194,1.386363636,387,391,435,1448,NA,712,NA,NA,168,395.1997393,394.8487557,299.1497995,0.067282202,0.068731279,0.194481922,12.60735694,12.23197755,3.797801466,0.3,25.052798,0.4806548,41.43327235,365.8410645,732.8344727,524.0966797,366.9934082,0.500786224,4,145.599,118.169,132852.913,79.443,65.262,75518.914,1.759200523,42.337,9.859,20247.194,31.746,10.582,19191.947,57.124,78.773,10.42240824,3.765259657
472,472B,B,2,CGN14070,oleracea,parent,9.19E-05,0.000147684,1.607142857,199,193,220,333,348,346,91,87,78,194.3772917,191.8172414,194.5537685,0.326781278,0.360572686,0.363731232,2.047674989,1.956153832,1.753340558,0.3,30.376813,0.6046541,56.66141191,350.2277832,707.692627,507.6101074,357.4648438,0.505113138,3,176.383,140.041,156385.6,121.157,92.953,106604.736,1.466966721,31.746,14.109,25426.22,30.593,10.84,16536.336,58.196,47.496,6.226019382,3.954862946
482,482B,B,2,CGN14113,napus,hybrid,5.58E-05,0.000101738,1.823529412,131,147,129,299,285,235,86,75,54,178.1283713,200.0132352,177.1985995,0.411447311,0.561737527,NA,1.880951732,1.323421477,0.952563659,0.48,28.767699,0.53611112,85.5306051,297.2600098,592.8571777,415.5895996,295.597168,0.498597603,3,174.189,105.758,165868.817,100.314,58.322,82194.103,2.018013592,33.438,7.776,19841.27,24.884,6.999,17310.857,73.807,56.446,6.570287821,3.629401623
499,499B,B,2,CGN07230,napus,hybrid,0.000114866,0.000114866,1,139,148,321,334,356,718,104,115,203,125.2645713,123.7500775,186.7428128,0.165848226,0.138650551,0.094149431,4.929448784,6.016955107,8.900715155,0.12,23.025732,0.33634392,64.57580639,306.5063477,598.059082,426.7138672,291.5527344,0.487498214,3,151.686,133.157,141690.695,84.73,66.161,74709.399,1.896557821,33.51,10.582,18010.725,21.237,8.818,16500.565,31.264,41.348,7.394898827,3.833066908
524,524B,B,3,PI 459016 ,rapa,parent,8.53E-05,0.000124711,1.461538462,295,NA,301,410,NA,509,81,NA,115,130.0601303,NA,136.3607885,0.163119653,NA,0.105935767,4.590014449,NA,7.237387019,0.14,24.749386,0.35656902,NA,498.5859375,983.2764893,723.9902344,484.6905518,0.492934141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.166,21.4,7.48874574,5.738302382
525,5255B,B,NA,NA,NA,NA,NA,NA,NA,NA,496,NA,NA,465,NA,NA,68,NA,NA,177.3662004,NA,NA,0.176312293,NA,NA,2.87010807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,531B,B,3,PI 257240,juncea,hybrid,0.000124711,0.000177221,1.421052632,201,230,201,486,467,321,148,128,71,228.1723187,242.5976889,190.5274351,0.25457284,0.311602957,0.49807634,3.168371038,2.327481515,1.445413059,0.34,21.915356,0.2020808,39.14512228,325.0517578,632.9973145,486.050293,307.9455566,0.486487935,3,154.331,112.024,146212.623,100.591,57.38,78165.971,1.870540609,53.857,15.095,26175.857,28.274,7.11,19133.625,NA,60.872,5.196001949,NA
532,532B,B,3,PI 459020 ,rapa,parent,0.000108302,0.000144402,1.333333333,220.1672474,233,198,486.261324,470,433,143.5156794,134,123,221.7441223,223.6057495,209.4401321,0.255146986,0.269647731,0.284153761,3.218968597,3.007495399,2.78921239,0.13,27.803247,0.55984896,56.01701695,363.7314453,790.9260254,518.2983398,427.1945801,0.540119514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.98,25.609,7.108128558,4.301852297
559,559B,B,3,CGN06710 ,rapa,parent,0.00010502,0.000150966,1.4375,222,165,164,508,351,312,151,102,84,228.0409143,195.0670285,186.2632679,0.223820364,0.324262699,0.417055871,3.459678441,2.289287542,1.885784466,0.21,24.88557,0.49633573,52.11332219,339.3400879,789.5620117,611.2451172,450.2219238,0.570217307,3,141.138,111.282,123576.545,87.413,51.215,67817.25,1.822199293,25.588,12.471,19086.19,30.915,6.887,18783.691,32.617,40.733,7.132214408,2.978437948
572,572B,B,3,CGN17374,napus,hybrid,3.94E-05,0.000101738,2.583333333,137,133,130,251,229,270,66,57,75,168.7039926,156.0895024,166.2613874,0.461988145,0.528115057,0.427758153,1.481687795,1.280961401,1.68200032,0.26,25.630714,0.47752799,84.2341663,282.751709,560.3354492,411.501709,277.5837402,0.495388505,2,124.417,98.772,116190.601,107.002,50.681,79805.996,1.455913175,36.619,10.582,24972.083,34.601,8.23,19960.247,45.958,53.495,7.891010685,3.346584553
585,585B,B,3,CGN07145,rapa,parent,5.25E-05,0.000118147,2.25,160,149,160,310,316,290,84,94,77,178.4711346,182.8046735,178.376165,0.35719822,0.351129377,0.406810452,1.890406804,2.109735578,1.726853662,0.64,22.90085,0.30427931,42.08944465,450.4985352,879.9663086,635.5429688,429.4677734,0.488050246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.474,57.617,7.471143317,3.873089435
596,596B,B,3,PI 633094,juncea,hybrid,6.56E-05,0.000154248,2.35,170,147,86.40449438,437,368,259.6123596,147,116,89.40449438,198.2472972,148.2070836,122.8063877,0.226554584,0.180125775,0.214787259,3.635679661,4.375001769,3.42096647,0.19,30.003016,0.5440996,82.56419037,575.0512695,1240.535522,819.5001221,665.4842529,0.536449171,2,173.022,143.45,159013.994,87.008,55.274,73152.581,2.173730466,39.994,11.758,28102.828,30.593,7.152,22104.178,31.087,42.905,7.695174981,3.509246821
601,601B,B,3,CGN07129,oleracea,parent,9.19E-05,0.000154248,1.678571429,209,203,187,704,572,598,255,194,211,266.3612098,241.5972568,250.6085056,0.146411913,0.188876525,0.172878895,5.745412773,4.43219397,4.749743169,0.29,21.235084,0.36339018,37.70194831,341.626709,641.3725586,483.7016602,299.7458496,0.467350599,3,150.817,122.332,141209.342,122.422,88.254,108073.682,1.30660249,39.976,7.436,27656.467,30.229,9.406,19373.913,79.873,55.077,6.162689377,3.442652358
603,603B,B,3,PI 459018 ,rapa,parent,0.000124711,0.000137839,1.105263158,307,328,238,915,826,568,327,264,176,312.4114115,296.3841145,238.9642967,0.111573202,0.137854442,0.215396586,7.331628153,5.925214816,3.937452826,0.11,33.138217,0.56323572,107.5932834,560.7741699,1201.844971,793.062561,641.0708008,0.533405569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.706,37.048,7.453556527,3.40836708
606,606B,B,3,CGN06813,rapa,parent,8.53E-05,0.000216604,2.538461538,239,258,225,685,590,417,238,177,106,273.7733121,257.5183967,218.364354,0.153134713,0.202838077,0.298558722,5.341670932,3.978734343,2.384602177,0.27,20.613923,0.30799522,210.235329,462.1940918,900.7996826,668.7490845,438.6055908,0.486906911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.099,43.361,6.318201121,3.15568643
613,613B,B,3,CGN06619,nigra,parent,4.27E-05,9.85E-05,2.307692308,120.6341463,177,105,235.0081301,280,213,62.18699187,62,57,140.9513477,162.7119973,134.1399137,0.428976513,0.429410893,0.462123154,1.756567545,1.536562012,1.608042563,0.3,13.197132,0.09805166,183.7106508,499.7307129,944.5299683,724.553772,444.7992554,0.470921273,3,129.03,92.425,107296.486,94.595,43.281,68713.578,1.561503405,35.135,3.604,16054.703,44.153,9.054,16178.07,22.655,38.909,8.174628704,3.251069794
