Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,px_obs,end_points,branch_points,areole_num,areole_pix,skel_length_new_mm,area_obs_mmsq,vein_dens_mm2,Date.Created,Lf3_wetMg,Lf4_wetMg,dry_shootsG,Lf4_dryMg,Photo,Cond,Fo,Fm,Fs,Fv,FvFm,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,SLA,Lf3_dryMg_pred,LMA
31,31B,B,1,PI 257240,juncea,hybrid,7.62E-05,0.000124654,1.636363636,5008432,243,419,108,33844.80556,213.4784505,44.42913195,2.430837499,4/20/14,4830,5933.1,0.4,NA,20.130909,0.24442247,531.2636719,1127.6521,874.4997559,596.3884277,0.528876262,2,206.94,174.019,184892.018,110.548,94.07,98813.645,45.991,9.479,25640.069,27.145,3.527,19098.632,85.721,51.667,5.580455264,0.19705977,313.975737,3.662763348
72,72B,B,1,CGN17374,napus,hybrid,0.000103878,0.000166205,1.6,6308715,145,466,166,31017.94578,110.2356001,11.90365805,13.94529306,4/14/14,1736.6,821.2,0.14,117.2,20.016449,0.37156849,345.6181641,682.6242676,533.8911133,337.0061035,0.493691947,3,141.093,106.996,121689.234,89.359,41.152,59147.436,34.392,9.406,20818.753,21.164,8.377,20216.866,45.49,51.712,7.667139522,0.388139932,129.4186512,2.844991233
101,101B,B,1,CGN07129,oleracea,parent,0.000214681,0.000249307,1.161290323,4296544,174,284,78,28530.42308,67.20161203,6.177128082,12.62722724,4/20/14,1437.9,224.2,0.2,28.3,NA,NA,NA,NA,NA,NA,NA,3,96.411,77.852,86050.378,86.131,65.238,77372.01,32.341,12.283,19646.862,23.197,5.291,14628.805,37.153,37.338,6.125677203,NA,111.5977417,3.003734332
113,113B,B,1,CGN06619,nigra,parent,0.000103878,0.000221607,2.133333333,5023984,287,834,288,13672.05208,301.7931484,44.56709166,6.462167246,4/20/14,1041.8,671.1,0.11,74.3,28.086455,0.39059258,NA,NA,NA,3.820800781,NA,3,138.459,97.038,120276.277,54.738,25.634,42859.165,44.982,14.109,26622.217,31.746,7.11,19460.23,29.943,48.124,8.794558922,0.403001346,87.96579568,2.937774962
140,140B,B,1,PI 470241,juncea,hybrid,8.31E-05,0.000228532,2.75,4973469,233,443,119,29123.10084,215.0772093,44.11897984,2.69725185,4/27/14,1623,1693.6,0.69,132.9,16.445665,0.20232433,529.1611328,1186.270264,976.0965576,657.1091309,0.553928688,3,213.992,165.785,173355.854,99.647,38.801,53914.753,39.242,8.524,22831.263,35.273,8.23,22123.619,38.576,48.462,7.802660966,0.290263356,122.6410974,3.179207211
143,143B,B,1,PI 173857,juncea,hybrid,0.000103878,0.000138504,1.333333333,4705294,227,676,240,16607.7375,254.2779137,41.7400352,5.749875362,4/20/14,1735.8,1025.2,0.25,NA,NA,NA,NA,NA,NA,NA,NA,2,134.924,92.894,127181.645,84.689,57.613,67418.325,48.207,10.582,23561.459,37.643,11.758,23507.803,41.26,54.819,8.534272329,NA,129.3709219,3.135504652
157,157B,B,1,CGN06620,nigra,parent,9.00E-05,0.000228532,2.538461538,5026319,224,486,145,27127.83333,228.0667158,44.58780514,3.252010265,4/20/14,1797.7,2417,0.72,169.1,20.528558,0.28745058,484.1018066,979.3497314,740.9130859,495.2479248,0.505690571,2,146.451,76.72,115236.447,61.728,13.257,43655.459,57.489,12.346,30498.711,44.233,12.346,NA,54.374,45.433,6.161348488,0.321549379,133.0639728,2.447198529
184,184B,B,1,CGN14031,oleracea,parent,9.70E-05,0.000193906,2,4991635,218,540,168,23645.08929,231.9623558,44.280128,3.794026973,4/20/14,3862.7,1525,0.16,111.9,21.54475,0.27720486,590.3349609,1067.908325,831.4963379,477.5733643,0.447204458,3,130.517,107.517,118139.345,83.513,68.357,72993.944,30.661,9.479,21433.859,16.503,9.74,14563.484,80.796,54.116,6.020475007,0.722037534,256.265105,3.171754851
191,191B,B,1,CGN03969,carinata,hybrid,0.000124654,0.000207756,1.666666667,5027838,222,450,131,28756.67939,227.3425658,44.60127998,2.937135438,4/20/14,2820.6,3626.1,0.42,203.7,NA,NA,NA,NA,NA,NA,NA,3,248.101,177.547,221846.626,110.548,75.287,92358.525,59.976,11.758,29977.698,40.046,8.479,19317.924,48.943,64.532,9.224223814,0.240270005,194.0917879,3.965670022
196,196B,B,1,CGN06627,nigra,parent,8.31E-05,0.000214681,2.583333333,12071795,140,254,64,128091.0156,119.0096677,22.77777959,2.809755874,4/20/14,745.8,387.6,0.16,33.9,15.518111,0.1322506,NA,NA,NA,3.534667969,NA,3,242.21,193.122,211069.43,128.16,69.371,100572.648,41.446,6.614,21118.919,12.79,7.94,18376.99,15.244,36.507,9.35032434,0.449675516,70.30597238,4.612042271
198,198B,B,1,PI120923,juncea,hybrid,9.85E-05,0.00015753,1.6,4166699,246,603,194,17135.07732,110.3958241,7.861975079,24.67573327,4/15/14,646.7,470.3,0.1,38.5,23.994796,0.34059584,327.5712891,676.4587402,470.2385254,348.8874512,0.5157557,3,145.527,129.705,141053.815,92.609,47.619,20158.544,29.995,8.862,20158.544,19.036,11.464,19018.536,15.29,35.504,9.079742709,0.397142857,64.39351126,4.211478827
208,208B,B,1,CGN03952,carinata,hybrid,0.000145429,0.000214681,1.476190476,12104863,468,1272,414,24645.64734,254.5808451,22.84017426,18.12595628,4/15/14,1648.8,1044.2,0.13,100.3,24.00901,0.22994752,593.9614258,1185.255005,805.4613647,591.2935791,0.498874568,3,147.396,125.224,138498.518,66.19,46.746,58719.738,40.574,11.464,22095.624,23.08,10.054,22066.851,42.399,49.769,7.643303551,0.422721834,124.1803658,2.928851288
210,210B,B,1,CGN03976,carinata,hybrid,0.000124654,0.000166205,1.333333333,5100690,348,1182,442,8786.886878,137.6199786,6.646894817,NA,4/16/14,1389.4,357.1,0.36,92.3,20.667623,0.27459552,358.5820313,715.3574219,512.5212402,356.7753906,0.498737246,4,134.283,107.343,102682.412,82.883,65.79,64772.34,32.445,10.811,21058.355,23.441,5.405,11370.019,33.244,36.47,6.325270845,0.360173348,108.7041557,3.269887972
219,219B,B,1,CGN06897,napus,hybrid,0.00017313,0.000263158,1.52,12199360,438,643,120,66706.55,185.7622121,23.01847681,5.213203332,4/13/14,2737.6,894.7,0.2,76.4,21.554725,0.32122031,335.1577148,632.2646484,470.1743164,297.1069336,0.469909134,4,153.439,89.359,121105.232,112.881,88.183,94100.42,30.57,6.173,18407.317,18.519,4.262,15058.836,51.887,40.146,5.573307426,0.679149215,189.139878,3.645226703
222,222B,B,1,CGN14070,oleracea,parent,0.000166205,0.000290859,1.75,9548856,395,474,76,66025.02632,130.3757196,18.01734848,4.218156743,NA,1082.1,637.7,0.15,52.3,NA,NA,NA,NA,NA,NA,NA,3,141.093,125.224,132926.01,79.385,61.754,72942.62,37.548,12.377,25559.973,20.282,9.498,14292.091,NA,NA,NA,NA,90.37015675,NA
232,232B,B,1,CGN14113,napus,hybrid,6.93E-05,0.000166205,2.4,12054881,397,755,183,52866.46995,193.4439207,22.74586525,8.045418276,4/17/14,1500.7,707.7,0.1,78.1,23.298335,0.34857849,376.3334961,746.6560059,522.8769531,370.3225098,0.495974728,2,188.569,151.789,170426.515,104.651,65.844,76270.883,36.449,8.314,20703.663,24.719,7.055,15609.399,31.537,37.353,6.651434195,0.403802817,115.3444879,3.657433743
249,249B,B,1,CGN07230,napus,hybrid,7.62E-05,0.00017313,2.272727273,12108738,153,307,92,98536.06522,132.1536166,22.84748584,4.02670126,4/20/14,3161.1,2941.5,0.2,200,28.364982,0.38085596,NA,NA,NA,4.503417969,NA,2,140.281,112.118,130049.551,76.725,62.616,72036.679,33.521,7.937,21024.825,15.095,5.291,14899.421,68.743,71.899,8.67178715,0.343715,214.4065508,3.118958306
281,281B,B,2,PI 257240,juncea,hybrid,5.54E-05,0.000180055,3.25,12191048.71,228.7755102,413.5408163,99.46938776,95366.57143,142.5246351,23.00279458,4.323833871,4/17/14,5023.7,5465.6,0.24,NA,12.05909,0.14814845,474.6503906,820.0483398,646.4799805,345.3979492,0.421192182,3,222.222,176.367,186078.684,122.281,73.486,92412.96,32.334,6.173,21770.574,24.25,4.409,20982.055,93.98,56.058,5.782556421,0.204794073,325.5321822,3.463845309
322,322B,B,2,CGN17374,napus,hybrid,0.000214681,0.000290859,1.35483871,4970448,310,1061,388,10817.35309,337.3424126,44.09218095,8.79974616,4/13/14,1456.9,546.7,0.11,59.4,21.051841,0.23594443,278.3630371,513.4006348,379.6157227,235.0375977,0.457805429,3,111.167,83.687,98080.339,85.864,47.046,64803.928,28.243,14.158,23576.234,19.988,11.816,16338.817,38.582,42.664,6.868615449,0.64952862,112.7313114,2.921862822
346,346B,B,2,PI 633094,juncea,hybrid,0.000117729,0.000242382,2.058823529,12126637,172,367,106,84112.38679,141.2035066,22.88125873,4.632612272,4/20/14,3450.4,4496.4,0.38,306.8,28.247224,0.35830475,496.3903809,1048.054565,712.3901367,551.6641846,0.526369717,3,155.203,125.858,142490.878,90.657,61.152,77641.848,42.475,8.23,20902.737,34.098,6.332,17775.103,72.095,74.452,8.768469498,0.234990222,231.6666416,3.213352405
356,356B,B,2,CGN06813,rapa,parent,3.94E-05,9.19E-05,2.333333333,5019223,175,231,44,62737.47727,163.1505095,44.52485747,0.988212035,4/27/14,NA,NA,NA,NA,13.854613,0.10147614,596.5883789,1210.155151,994.7047119,613.5667725,0.507014966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.885,64.387,6.410396479,0.217565236,NA,NA
363,363B,B,2,CGN06619,nigra,parent,8.31E-05,0.00015928,1.916666667,11922718,140,342,108,82052.33333,136.739514,22.49649226,4.800748435,4/21/14,1321.6,1969.7,0.51,122.4,17.548777,0.2041702,333.923584,658.4787598,521.8261719,324.5551758,0.492886325,2,106.793,74.074,92632.252,82.011,49.383,58888.485,26.587,8.818,15771.924,22.046,7.985,16807.729,36.192,43.548,7.23872241,0.295686275,104.6591016,2.89177447
393,393B,B,2,PI 173857,juncea,hybrid,0.000166205,0.000242382,1.458333333,8451589,315,597,154,40868.38411,148.2798646,15.94695995,9.657013026,4/21/14,402.5,378.8,0.08,27.3,17.689356,0.20072634,310.3977051,570.4345703,442.4025879,260.0368652,0.455857479,3,133.3,104.882,122113.82,76.426,47.163,68192.069,27.043,10.582,28441.098,35.449,9.479,18439.2,10.661,28.901,8.851439358,0.390512821,49.82415704,4.673497518
407,407B,B,2,CGN06620,nigra,parent,0.000110803,0.000152355,1.375,3775456,198,605,212,15097.8381,210.7747036,33.49156638,6.329951774,4/18/14,1217.3,1796.4,0.47,153.1,23.63184,0.32807046,266.2941895,554.5544434,408.5290527,288.2602539,0.519805147,2,112.899,70.586,95388.179,72.936,47.031,55670.645,27.043,14.109,23540.463,22.371,9.406,18773.582,39.12,37.376,5.975763455,0.255519268,98.43640037,2.516267903
416,416B,B,2,CGN06709 ,rapa,parent,0.000145429,0.000263158,1.80952381,2236886,155,254,62,16725.41935,121.1189754,19.84311722,3.124509084,4/17/14,1249.5,1395.3,0.18,142.8,17.029926,0.16342976,575.2314453,1139.394531,780.6353149,564.1630859,0.495142877,2,180.914,131.708,156241.738,101.451,83.489,87911.25,49.397,9.479,25098.059,24.719,10.84,18419.759,31.757,43.013,7.632731751,0.222387955,100.3575028,3.160169499
434,434B,B,2,CGN14031,oleracea,parent,NA,NA,1.371428571,5027838,358,1140,411,10575.27494,352.6124195,44.60127998,9.214982174,4/21/14,1818.9,390.7,0.21,43.3,17.531111,0.28726649,347.6303711,597.4335938,461.2102051,249.8032227,0.418127178,3,108.498,85.542,92377.996,101.415,74.158,86720.679,23.81,14.219,19479.671,27.563,7.937,15319.342,42.035,46.638,7.193403008,0.970785219,134.328798,3.19564168
441,441B,B,2,CGN03969,carinata,hybrid,4.92E-05,9.52E-05,1.933333333,5028327,232,709,247,16568.07692,265.7546534,44.60561784,5.537419096,4/17/14,1866.5,1752.5,0.2,163.1,34.651833,NA,551.2026367,1274.249756,781.578125,723.0471191,0.567429671,2,161.082,121.105,135033.392,164.609,NA,NA,38.801,6.173,25650.955,27.337,7.055,19363.026,37.856,49.793,8.092839578,0.232103004,137.1686885,3.623433234
448,448B,B,2,PI120923,juncea,hybrid,0.000108302,0.00015753,1.454545455,5017482,292,845,293,13565.48123,297.6388792,44.50941329,6.582877157,4/16/14,1773.1,1182.6,0.2,96.4,23.937714,0.38681353,385.1777344,760.8508301,522.03125,375.6730957,0.493753941,2,185.54,141.49,156429.147,100.003,56.437,82440.612,43.504,10.582,25080.951,22.463,9.479,18624.386,35.638,51.863,8.687623133,0.369688797,131.5962983,3.692583712
458,458B,B,2,CGN03952,carinata,hybrid,0.000101738,0.000164094,1.612903226,5004537,329,800,256,15860.34375,295.6866381,44.39457992,5.766469701,4/15/14,2099.5,1014.2,0.1,103.3,27.754404,0.37404878,315.7282715,637.0732422,447.286377,321.3449707,0.504408205,3,140.057,116.342,123298.352,91.062,60.468,74942.781,28.885,9.91,22091.551,22.684,6.861,14922.49,51.241,54.013,7.545525676,0.496040658,151.0698332,2.948221799
460,460B,B,2,CGN03976,carinata,hybrid,0.000144402,0.000200194,1.386363636,5016176,387,1448,NA,7584.625668,395.1997393,44.49782794,12.60735694,4/21/14,3172.5,1164.1,0.3,101.9,25.052798,0.4806548,365.8410645,732.8344727,524.0966797,366.9934082,0.500786224,4,145.599,118.169,132852.913,79.443,65.262,75518.914,42.337,9.859,20247.194,31.746,10.582,19191.947,57.124,78.773,10.42240824,0.560588813,215.0866927,3.765259657
472,472B,B,2,CGN14070,oleracea,parent,9.19E-05,0.000147684,1.607142857,5009730,199,333,91,36837.58242,194.3772917,44.44064633,2.047674989,4/23/14,3425.1,2654.5,0.3,193.9,30.376813,0.6046541,350.2277832,707.692627,507.6101074,357.4648438,0.505113138,3,176.383,140.041,156385.6,121.157,92.953,106604.736,31.746,14.109,25426.22,30.593,10.84,16536.336,58.196,47.496,6.226019382,0.30013409,230.157204,3.954862946
482,482B,B,2,CGN14113,napus,hybrid,5.58E-05,0.000101738,1.823529412,5536919,131,299,86,49826.63953,178.1283713,45.72153476,1.880951732,4/21/14,4057.3,2839.4,0.48,217,28.767699,0.53611112,297.2600098,592.8571777,415.5895996,295.597168,0.498597603,3,174.189,105.758,165868.817,100.314,58.322,82194.103,33.438,7.776,19841.27,24.884,6.999,17310.857,73.807,56.446,6.570287821,0.340124424,267.8752456,3.629401623
499,499B,B,2,CGN07230,napus,hybrid,0.000114866,0.000114866,1,11181381,139,334,104,87896.44231,125.2645713,21.09769359,4.929448784,4/21/14,1576,813.6,0.12,55.1,23.025732,0.33634392,306.5063477,598.059082,426.7138672,291.5527344,0.487498214,3,151.686,133.157,141690.695,84.73,66.161,74709.399,33.51,10.582,18010.725,21.237,8.818,16500.565,31.264,41.348,7.394898827,0.567404719,119.8370038,3.833066908
524,524B,B,3,PI 459016 ,rapa,parent,8.53E-05,0.000124711,1.461538462,9352580,295,410,81,86450.35,130.0601303,17.64700327,4.590014449,4/26/14,352.8,447.1,0.14,25.9,24.749386,0.35656902,498.5859375,983.2764893,723.9902344,484.6905518,0.492934141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.166,21.4,7.48874574,0.315289575,46.85897725,5.738302382
531,531B,B,3,PI 257240,juncea,hybrid,0.000124711,0.000177221,1.421052632,5656829,201,486,148,30829,228.1723187,46.71170082,3.168371038,4/21/14,NA,2524.9,0.34,183.9,21.915356,0.2020808,325.0517578,632.9973145,486.050293,307.9455566,0.486487935,3,154.331,112.024,146212.623,100.591,57.38,78165.971,53.857,15.095,26175.857,28.274,7.11,19133.625,NA,60.872,5.196001949,0.746302338,NA,NA
532,532B,B,3,PI 459020 ,rapa,parent,0.000108302,0.000144402,1.333333333,5026095.073,220.1672474,486.261324,143.5156794,28762.35192,221.7441223,44.58581871,3.218968597,4/17/14,503.3,1054.3,0.13,114.1,27.803247,0.55984896,363.7314453,790.9260254,518.2983398,427.1945801,0.540119514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.98,25.609,7.108128558,0.11375986,55.83804281,4.301852297
559,559B,B,3,CGN06710 ,rapa,parent,0.00010502,0.000150966,1.4375,4920114,222,508,151,25230.94702,228.0409143,43.64567475,3.459678441,4/13/14,1195.7,820,0.21,73.7,24.88557,0.49633573,339.3400879,789.5620117,611.2451172,450.2219238,0.570217307,3,141.138,111.282,123576.545,87.413,51.215,67817.25,25.588,12.471,19086.19,30.915,6.887,18783.691,32.617,40.733,7.132214408,0.44256445,97.14771056,2.978437948
572,572B,B,3,CGN17374,napus,hybrid,3.94E-05,0.000101738,2.583333333,5021358,137,251,66,52079.25758,168.7039926,44.54379677,1.481687795,4/13/14,2145.3,1379.1,0.26,111.6,25.630714,0.47752799,282.751709,560.3354492,411.501709,277.5837402,0.495388505,2,124.417,98.772,116190.601,107.002,50.681,79805.996,36.619,10.582,24972.083,34.601,8.23,19960.247,45.958,53.495,7.891010685,0.411810036,153.8023329,3.346584553
585,585B,B,3,CGN07145,rapa,parent,5.25E-05,0.000118147,2.25,5009080,160,310,84,40266.44048,178.4711346,44.43488027,1.890406804,4/26/14,3428.3,2466.9,0.64,188.8,22.90085,0.30427931,450.4985352,879.9663086,635.5429688,429.4677734,0.488050246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.474,57.617,7.471143317,0.315010593,230.348121,3.873089435
596,596B,B,3,PI 633094,juncea,hybrid,6.56E-05,0.000154248,2.35,4557909,170,437,147,25539.17007,198.2472972,40.4326051,3.635679661,4/15/14,1395.9,1030.7,0.19,99.3,30.003016,0.5440996,575.0512695,1240.535522,819.5001221,665.4842529,0.536449171,2,173.022,143.45,159013.994,87.008,55.274,73152.581,39.994,11.758,28102.828,30.593,7.152,22104.178,31.087,42.905,7.695174981,0.31306143,109.0919559,3.509246821
601,601B,B,3,CGN07129,oleracea,parent,9.19E-05,0.000154248,1.678571429,5003258,209,704,255,16504.80392,266.3612098,44.38323408,5.745412773,4/21/14,4176.3,2112.7,0.29,149.8,21.235084,0.36339018,341.626709,641.3725586,483.7016602,299.7458496,0.467350599,3,150.817,122.332,141209.342,122.422,88.254,108073.682,39.976,7.436,27656.467,30.229,9.406,19373.913,79.873,55.077,6.162689377,0.533197597,274.9749718,3.442652358
603,603B,B,3,PI 459018 ,rapa,parent,0.000124711,0.000137839,1.105263158,5027838,307,915,327,12577.48624,312.4114115,44.60127998,7.331628153,4/17/17,978.8,960.7,0.11,91.7,33.138217,0.56323572,560.7741699,1201.844971,793.062561,641.0708008,0.533405569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.706,37.048,7.453556527,0.269422028,84.20711707,3.40836708
606,606B,B,3,CGN06813,rapa,parent,8.53E-05,0.000216604,2.538461538,5022660,239,685,238,17262.65546,273.7733121,44.55534664,5.341670932,4/11/14,2058.6,1656.9,0.27,124.3,20.613923,0.30799522,462.1940918,900.7996826,668.7490845,438.6055908,0.486906911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.099,43.361,6.318201121,0.378913918,148.6296752,3.15568643
613,613B,B,3,CGN06619,nigra,parent,4.27E-05,9.85E-05,2.307692308,3990808.715,120.6341463,235.0081301,62.18699187,48357.90244,140.9513477,35.40193259,1.756567545,4/12/14,801.9,863.5,0.3,72.6,13.197132,0.09805166,499.7307129,944.5299683,724.553772,444.7992554,0.470921273,3,129.03,92.425,107296.486,94.595,43.281,68713.578,35.135,3.604,16054.703,44.153,9.054,16178.07,22.655,38.909,8.174628704,0.312052342,73.65298618,3.251069794
